stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash,label
36,192.168.64.11,82.65.58.162,119,38076,9001,0x0304,0x304,www.x66yknj3kcpwyav4u.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
37,192.168.64.11,192.99.152.50,62,58448,9001,0x0304,0x304,www.6nh4ttf3hmz3kpiepz7z.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
38,192.168.64.11,82.65.58.162,64,55298,9001,0x0304,0x304,www.ihlulw7zuo7r4bqg24m.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
39,192.168.64.11,192.99.152.50,12,47408,9001,0x0304,0x304,www.fawxzzrn.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
40,192.168.64.11,82.65.58.162,114,37628,9001,0x0304,0x304,www.35fc67hz.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
41,192.168.64.11,192.99.152.50,71,57992,9001,0x0304,0x304,www.c5mdpckyffw7x5f5.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
42,192.168.64.11,82.65.58.162,138,37586,9001,0x0304,0x304,www.jry635fwlzlxlfewnjdrg.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
43,192.168.64.11,192.99.152.50,43,57952,9001,0x0304,0x304,www.3dxmehbuncabaxlvz36tr.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
44,192.168.64.11,82.65.58.162,141,55632,9001,0x0304,0x304,www.7xoik.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
45,192.168.64.11,192.99.152.50,36,47746,9001,0x0304,0x304,www.wvmyvcf.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
46,192.168.64.11,192.99.152.50,105,58098,9001,0x0304,0x304,www.oym3p.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
47,192.168.64.11,82.65.58.162,63,37746,9001,0x0304,0x304,www.2gf5kx7vd.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
48,192.168.64.11,192.99.152.50,60,56972,9001,0x0304,0x304,www.53do.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
49,192.168.64.11,82.65.58.162,28,36616,9001,0x0304,0x304,www.aetkrboljln7qqxnz.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
50,192.168.64.11,82.65.58.162,56,55386,9001,0x0304,0x304,www.ae43twiw.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
51,192.168.64.11,192.99.152.50,16,47498,9001,0x0304,0x304,www.xmubn36ceh7wvyfvs.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
52,192.168.64.11,192.99.152.50,125,47594,9001,0x0304,0x304,www.672c.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
53,192.168.64.11,82.65.58.162,22,55502,9001,0x0304,0x304,www.mzgozh3pzb3.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
54,192.168.64.11,192.99.152.50,83,47708,9001,0x0304,0x304,www.3sjyu4uvzr7crpgudp56oxses.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
55,192.168.64.11,192.99.152.50,109,58246,9001,0x0304,0x304,www.bdsetrxbssw2tlxlkh.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
56,192.168.64.11,82.65.58.162,15,37906,9001,0x0304,0x304,www.ff54c.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
57,192.168.64.11,192.99.152.50,118,58282,9001,0x0304,0x304,www.66c5.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
58,192.168.64.11,82.65.58.162,15,37936,9001,0x0304,0x304,www.noo6ikdr7dmxazfi.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
59,192.168.64.11,82.65.58.162,58,55122,9001,0x0304,0x304,www.hykiie4qnkvfgajn53c.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
60,192.168.64.11,192.99.152.50,18,47238,9001,0x0304,0x304,www.irqlpkykgium.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
61,192.168.64.11,82.65.58.162,88,38032,9001,0x0304,0x304,www.xwfcjkr26276j4di.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
62,192.168.64.11,192.99.152.50,36,58392,9001,0x0304,0x304,www.w5b7kdwiwhxcxre23cq5h.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
63,192.168.64.11,192.99.152.50,103,47186,9001,0x0304,0x304,www.kjxhpn6fo7vtscyp2nweryn3.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
64,192.168.64.11,82.65.58.162,27,55092,9001,0x0304,0x304,www.x5gih.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
65,192.168.64.11,192.99.152.50,16,47356,9001,0x0304,0x304,www.ziirupldk.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
66,192.168.64.11,82.65.58.162,46,55256,9001,0x0304,0x304,www.vbrzyytgomm2i7.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
67,192.168.64.11,82.65.58.162,116,37184,9001,0x0304,0x304,www.eutdmt7k7j26m7z.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
