stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash
432,192.168.64.11,35.205.136.23,17,47104,443,0x0303,0x304,adidasgroup-sync.quantummetric.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,4,5669,2022-01-18 00:00:00 (UTC),2023-02-13 23:59:59 (UTC),34,579ccef312d18482fc42e2b822ca2430
433,192.168.64.11,157.240.221.15,6,33868,443,0x0304,0x304,ad.atdmt.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
434,192.168.64.11,157.240.221.15,15,33870,443,0x0304,0x304,ad.atdmt.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
437,192.168.64.11,96.16.109.143,6,42544,443,0x0304,0x304,p.teads.tv,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
436,192.168.64.11,2.18.82.24,34,35118,443,0x0304,0x304,se.monetate.net,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
435,192.168.64.11,157.240.221.16,34,60652,443,0x0304,0x304,connect.facebook.net,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
443,192.168.64.11,35.71.131.137,17,57440,443,0x0303,0x304,match.adsrvr.org,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,2,2825,2022-03-31 20:37:50 (UTC),2023-05-02 20:37:49 (UTC),26,579ccef312d18482fc42e2b822ca2430
442,192.168.64.11,96.16.80.185,10,38028,443,0x0303,0x304,acdn.adnxs.com,17.0,False,True,6.0,2,,0xc030,29,1,4.0,2,3182,2021-12-10 00:00:00 (UTC),2022-12-09 23:59:59 (UTC),40,579ccef312d18482fc42e2b822ca2430
441,192.168.64.11,18.164.70.179,9,58948,443,0x0304,0x304,js.adsrvr.org,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
440,192.168.64.11,199.232.172.157,11,46956,443,0x0303,0x304,static.ads-twitter.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,2,3015,2021-07-21 00:00:00 (UTC),2022-07-26 23:59:59 (UTC),38,579ccef312d18482fc42e2b822ca2430
